k,d,time,accuracy,precision,recall,f1,confusion
7,5,43.27614641189575,0.8859677193994601,0.7491427064099182,0.1044540071352385,0.183344092963202,"[[193727    951]
 [ 24349   2840]]"
7,6,154.72462034225464,0.8910157887382981,0.6384976525821596,0.255103166721836,0.3645537685272784,"[[190751   3927]
 [ 20253   6936]]"
7,7,737.7625014781952,0.8714590272550672,0.4712569156293222,0.4010077604913752,0.4333035270740188,"[[182445  12233]
 [ 16286  10903]]"
8,2,10.357469081878662,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
8,3,17.163452625274658,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
8,4,25.713833332061768,0.878616468424777,0.6743243243243243,0.0183530104086211,0.0357334670056214,"[[194437    241]
 [ 26690    499]]"
8,5,57.23679924011231,0.8906777483807867,0.759095725891911,0.1580786347419912,0.2616663115278074,"[[193314   1364]
 [ 22891   4298]]"
8,6,251.6255521774292,0.8852105089986343,0.553002771789344,0.3302070690352716,0.4135040530582166,"[[187421   7257]
 [ 18211   8978]]"
9,2,12.376654624938965,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
9,3,20.453123331069943,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
9,4,29.661901712417603,0.8805049872220745,0.7395612172682237,0.0384346610761705,0.0730718131599188,"[[194310    368]
 [ 26144   1045]]"
9,5,76.32308387756348,0.8936615179364213,0.7283464566929134,0.2109308911692228,0.32712545988649,"[[192539   2139]
 [ 21454   5735]]"
9,6,385.17714834213257,0.8760248256838556,0.4924159050672281,0.3784986575453308,0.4280069871901514,"[[184070  10608]
 [ 16898  10291]]"
10,2,13.20511031150818,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
10,3,20.723374128341675,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
10,4,33.035430669784546,0.8836510161493146,0.759140595552205,0.074074074074074,0.1349775484216875,"[[194039    639]
 [ 25175   2014]]"
10,5,94.74036860466003,0.892895293126062,0.6620317820658342,0.2574202802603994,0.3706999284976563,"[[191105   3573]
 [ 20190   6999]]"
10,6,522.1074738502502,0.8729689408519519,0.4780343503024416,0.3982125124131082,0.4344877402785023,"[[182856  11822]
 [ 16362  10827]]"
11,2,13.596748113632202,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
11,3,21.7695050239563,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
11,4,35.63964009284973,0.8861209643615319,0.7723024638912489,0.1002979145978153,0.1775390625,"[[193874    804]
 [ 24462   2727]]"
11,5,124.45286011695862,0.8902856215660734,0.6069737732020741,0.2970686674758174,0.3989035954168313,"[[189448   5230]
 [ 19112   8077]]"
12,2,15.563452959060667,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
12,3,24.13900661468506,0.8775257248712066,0.8333333333333334,0.0007355915995439,0.0014698857163855,"[[194674      4]
 [ 27169     20]]"
12,4,40.12357139587402,0.8884827396593454,0.7804263121705248,0.1252344698223546,0.2158341784989858,"[[193720    958]
 [ 23784   3405]]"
12,5,160.4899353981018,0.886594220862048,0.5632248410026188,0.3322299459340174,0.417933236171837,"[[187673   7005]
 [ 18156   9033]]"
13,2,15.7511305809021,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
13,3,26.137392044067383,0.8776969986523457,0.6534090909090909,0.0042296516973776,0.0084048967659418,"[[194617     61]
 [ 27074    115]]"
13,4,44.036717653274536,0.890569575466383,0.7658991228070176,0.1541432196844312,0.256636355286121,"[[193397   1281]
 [ 22998   4191]]"
13,5,200.7679669857025,0.8811134598655952,0.5212877516778524,0.3656625841332891,0.4298220963662696,"[[185548   9130]
 [ 17247   9942]]"
14,2,16.774325370788574,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
14,3,26.57314705848694,0.8779719381431218,0.7309236947791165,0.0066938835558497,0.0132662730519717,"[[194611     67]
 [ 27007    182]]"
14,4,50.02348804473877,0.8926023248162187,0.7603408210689389,0.1805141785280812,0.2917607894423968,"[[193131   1547]
 [ 22281   4908]]"
14,5,244.68818306922915,0.8778637652287181,0.5021538461538462,0.3901577843981021,0.4391273750879662,"[[184161  10517]
 [ 16581  10608]]"
15,2,18.169392585754395,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
15,3,28.62441349029541,0.878165747948095,0.6936274509803921,0.0104086211335466,0.020509475667645,"[[194553    125]
 [ 26906    283]]"
15,4,55.82637047767639,0.8936254602982868,0.7381205203079374,0.2045312442531906,0.3203064251360769,"[[192705   1973]
 [ 21628   5561]]"
15,5,283.04812121391296,0.873640514362208,0.481122813280971,0.3965206517341572,0.434744036937718,"[[183051  11627]
 [ 16408  10781]]"
16,2,22.635375499725345,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
16,3,33.0170156955719,0.8791077537443603,0.7246022031823746,0.0217735113465004,0.0422766550024994,"[[194453    225]
 [ 26597    592]]"
16,4,64.9753999710083,0.8938282845127937,0.7137310271796682,0.2231049321416749,0.339946200403497,"[[192245   2433]
 [ 21123   6066]]"
17,2,21.62601137161255,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
17,3,33.30842876434326,0.8795990390639438,0.7216014897579144,0.0285041744823274,0.0548420196015992,"[[194379    299]
 [ 26414    775]]"
17,4,70.81216073036194,0.8940942095940361,0.6916528239202658,0.2450255618080841,0.3618587219249884,"[[191708   2970]
 [ 20527   6662]]"
18,2,22.50685429573059,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
18,3,35.623634815216064,0.8806266817507786,0.7728682170542636,0.036669241237265,0.0700165033884616,"[[194385    293]
 [ 26192    997]]"
18,4,78.52331709861755,0.8932513623026408,0.6583536640462637,0.2679760197138549,0.3809075700543705,"[[190897   3781]
 [ 19903   7286]]"
19,2,22.98830223083496,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
19,3,36.20866107940674,0.8814515002231066,0.7328083989501313,0.0513442936481665,0.0959648037396026,"[[194169    509]
 [ 25793   1396]]"
19,4,85.34904313087463,0.8931522037977707,0.6425006136977334,0.2887932619809482,0.3984775437706166,"[[190309   4369]
 [ 19337   7852]]"
20,2,23.4216947555542,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
20,3,37.3357560634613,0.8819112351093222,0.7519103413143148,0.0542866600463422,0.1012623490669593,"[[194191    487]
 [ 25713   1476]]"
20,4,95.6598813533783,0.8925662671780842,0.627519586217388,0.3034315348118724,0.4090638635462118,"[[189781   4897]
 [ 18939   8250]]"
21,2,25.959968328475952,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
21,3,41.58815836906433,0.8831957884678658,0.7710638297872341,0.0666445989186803,0.1226852635498832,"[[194140    538]
 [ 25377   1812]]"
21,4,108.86841607093812,0.8898844803418264,0.5947896618091834,0.3182537055426827,0.4146440807916237,"[[188783   5895]
 [ 18536   8653]]"
22,2,29.315780878067017,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
22,3,44.96952629089356,0.8835203072110769,0.738483345145287,0.0766486446724778,0.1388824097830795,"[[193940    738]
 [ 25105   2084]]"
22,4,122.55914044380188,0.888194278554269,0.5742876737951244,0.3387767111699584,0.4261589710372906,"[[187850   6828]
 [ 17978   9211]]"
23,2,30.321995735168457,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
23,3,47.58416724205017,0.8849040190744906,0.7639731715106994,0.0879767553054544,0.1577836411609498,"[[193939    739]
 [ 24797   2392]]"
23,4,133.96792578697205,0.8850347280127283,0.5481782768102658,0.3519438008017948,0.4286706238100571,"[[186791   7887]
 [ 17620   9569]]"
24,2,28.684787034988403,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
24,3,46.16590046882629,0.8859902554232941,0.7798463356973995,0.0970613115598219,0.1726359860007195,"[[193933    745]
 [ 24550   2639]]"
24,4,143.77799344062805,0.8828802841341885,0.5319160216307921,0.3690095259112141,0.4357342945864367,"[[185849   8829]
 [ 17156  10033]]"
25,2,33.28028964996338,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
25,3,51.83091330528259,0.8860578634947964,0.7407313997477932,0.1080216263930265,0.18854721705078,"[[193650   1028]
 [ 24252   2937]]"
25,4,160.87824964523315,0.880315684621868,0.5156565905616648,0.3846040678215455,0.4405915564169546,"[[184856   9822]
 [ 16732  10457]]"
